Record_Id, Rental Date, Return Date, Customer Id
aab01, 2023-10-23,	2023-12-01,	ztiv
ddf03,	2022-09-24,	2023-05-13,	ucru
bet14,	2024-09-30,	          ,	faqz
bba04,	2015-07-05,	2015-07-22,	famz
cdd05,	2022-02-05,		      , jare
klm06,	2021-04-23,	2021-08-20,	mumu
tbh07,	2023-12-30,		      , kbnj
kkk11,	2019-02-14,	2019-02-27,	omoo
ffg12,	2020-12-20,	2021-02-12,	oden
jpg13,	2024-10-24,		      , ljxz
sec08,	2024-09-27,		      , djdm
bad15,	2022-11-22,	2023-01-04,	dnda
fag17,	2017-06-11,	2017-09-23,	dnro
dab16,	2023-10-10,	2023-11-05,	dfik
pfp18,	2017-09-06,	2017-11-04,	khlj
nin19,	2020-11-12,	2021-04-25,	flyv
bbd02,	2021-04-02,	2021-07-05,	fngh
cod20,	2023-09-12,		      , dnif
cos09,	2024-04-24,	2024-10-05,	fmgt
vin10,	2024-11-01,		      , dene
klm06,2024-12-03,,abcdRecord_Id, Rental Date, Return Date, Customer Id
aab01, 2023-10-23,	2023-12-01,	ztiv
ddf03,	2022-09-24,	2023-05-13,	ucru
bet14,	2024-09-30,	          ,	faqz
bba04,	2015-07-05,	2015-07-22,	famz
cdd05,	2022-02-05,		      , jare
klm06,	2021-04-23,	2021-08-20,	mumu
tbh07,	2023-12-30,		      , kbnj
kkk11,	2019-02-14,	2019-02-27,	omoo
ffg12,	2020-12-20,	2021-02-12,	oden
jpg13,	2024-10-24,		      , ljxz
sec08,	2024-09-27,		      , djdm
bad15,	2022-11-22,	2023-01-04,	dnda
fag17,	2017-06-11,	2017-09-23,	dnro
dab16,	2023-10-10,	2023-11-05,	dfik
pfp18,	2017-09-06,	2017-11-04,	khlj
nin19,	2020-11-12,	2021-04-25,	flyv
bbd02,	2021-04-02,	2021-07-05,	fngh
cod20,	2023-09-12,		      , dnif
cos09,	2024-04-24,	2024-10-05,	fmgt
vin10,	2024-11-01,		      , dene
klm06,2024-12-03,2024-12-03,abcd

dab16,2024-12-03,,lbroRecord_Id, Rental Date, Return Date, Customer Id
aab01, 2023-10-23,	2023-12-01,	ztiv
ddf03,	2022-09-24,	2023-05-13,	ucru
bet14,	2024-09-30,	          ,	faqz
bba04,	2015-07-05,	2015-07-22,	famz
cdd05,	2022-02-05,		      , jare
klm06,	2021-04-23,	2021-08-20,	mumu
tbh07,	2023-12-30,		      , kbnj
kkk11,	2019-02-14,	2019-02-27,	omoo
ffg12,	2020-12-20,	2021-02-12,	oden
jpg13,	2024-10-24,		      , ljxz
sec08,	2024-09-27,		      , djdm
bad15,	2022-11-22,	2023-01-04,	dnda
fag17,	2017-06-11,	2017-09-23,	dnro
dab16,	2023-10-10,	2023-11-05,	dfik
pfp18,	2017-09-06,	2017-11-04,	khlj
nin19,	2020-11-12,	2021-04-25,	flyv
bbd02,	2021-04-02,	2021-07-05,	fngh
cod20,	2023-09-12,		      , dnif
cos09,	2024-04-24,	2024-10-05,	fmgt
vin10,	2024-11-01,		      , dene
klm06,2024-12-03,,abcdRecord_Id, Rental Date, Return Date, Customer Id
aab01, 2023-10-23,	2023-12-01,	ztiv
ddf03,	2022-09-24,	2023-05-13,	ucru
bet14,	2024-09-30,	          ,	faqz
bba04,	2015-07-05,	2015-07-22,	famz
cdd05,	2022-02-05,		      , jare
klm06,	2021-04-23,	2021-08-20,	mumu
tbh07,	2023-12-30,		      , kbnj
kkk11,	2019-02-14,	2019-02-27,	omoo
ffg12,	2020-12-20,	2021-02-12,	oden
jpg13,	2024-10-24,		      , ljxz
sec08,	2024-09-27,		      , djdm
bad15,	2022-11-22,	2023-01-04,	dnda
fag17,	2017-06-11,	2017-09-23,	dnro
dab16,	2023-10-10,	2023-11-05,	dfik
pfp18,	2017-09-06,	2017-11-04,	khlj
nin19,	2020-11-12,	2021-04-25,	flyv
bbd02,	2021-04-02,	2021-07-05,	fngh
cod20,	2023-09-12,		      , dnif
cos09,	2024-04-24,	2024-10-05,	fmgt
vin10,	2024-11-01,		      , dene
klm06,2024-12-03,2024-12-03,abcd

dab16,2024-12-03,2024-12-03,lbro

cos09,2024-12-03,,abcdRecord_Id, Rental Date, Return Date, Customer Id
aab01, 2023-10-23,	2023-12-01,	ztiv
ddf03,	2022-09-24,	2023-05-13,	ucru
bet14,	2024-09-30,	          ,	faqz
bba04,	2015-07-05,	2015-07-22,	famz
cdd05,	2022-02-05,		      , jare
klm06,	2021-04-23,	2021-08-20,	mumu
tbh07,	2023-12-30,		      , kbnj
kkk11,	2019-02-14,	2019-02-27,	omoo
ffg12,	2020-12-20,	2021-02-12,	oden
jpg13,	2024-10-24,		      , ljxz
sec08,	2024-09-27,		      , djdm
bad15,	2022-11-22,	2023-01-04,	dnda
fag17,	2017-06-11,	2017-09-23,	dnro
dab16,	2023-10-10,	2023-11-05,	dfik
pfp18,	2017-09-06,	2017-11-04,	khlj
nin19,	2020-11-12,	2021-04-25,	flyv
bbd02,	2021-04-02,	2021-07-05,	fngh
cod20,	2023-09-12,		      , dnif
cos09,	2024-04-24,	2024-10-05,	fmgt
vin10,	2024-11-01,		      , dene
klm06,2024-12-03,,abcdRecord_Id, Rental Date, Return Date, Customer Id
aab01, 2023-10-23,	2023-12-01,	ztiv
ddf03,	2022-09-24,	2023-05-13,	ucru
bet14,	2024-09-30,	          ,	faqz
bba04,	2015-07-05,	2015-07-22,	famz
cdd05,	2022-02-05,		      , jare
klm06,	2021-04-23,	2021-08-20,	mumu
tbh07,	2023-12-30,		      , kbnj
kkk11,	2019-02-14,	2019-02-27,	omoo
ffg12,	2020-12-20,	2021-02-12,	oden
